text,category
Diwali celebrations begin across the country,Culture
European countries face record heatwaves,World News
Quantum computing breakthrough announced,Science
Cyclone warning issued for coastal Andhra Pradesh,Weather
Kidnapping case solved within 48 hours,Crime
Judiciary introduces e-filing system nationwide,Law
Startup develops drone for smart agriculture monitoring,Technology
Cultural exchange program between India and Japan,Culture
Court sentences accused in corruption scandal,Crime
Music festival to be held in Hyderabad next month,Entertainment
Delhi Metro opens new route to airport,Transportation
Agri-tech startups help farmers monitor soil health,Agriculture
Cyclone warning issued for coastal Andhra Pradesh,Weather
Oil prices drop as global demand slows,Business
Severe heatwave expected in northern India,Weather
University introduces AI and robotics programs,Education
India wins the final match by 5 wickets,Sports
Diwali celebrations begin across the country,Culture
Legal experts debate digital data protection act,Law
Military conducts joint exercise with France,Defense
Quantum computing breakthrough announced,Science
Taj Mahal sees record number of visitors,Tourism
Cybersecurity experts warn of new ransomware attack,Technology
Taj Mahal sees record number of visitors,Tourism
Cybercrime rate increases in metropolitan areas,Crime
Government announces new election reforms,Politics
Monsoon arrives early this year,Weather
Festival promotes folk music and heritage,Culture
Opposition leader accuses ruling party of corruption,Politics
Defense budget increased for modernization,Defense
Judiciary introduces e-filing system nationwide,Law
Government launches 'Visit India 2025' campaign,Tourism
Parliament passes the new economic bill,Politics
Football league postpones games due to rain,Sports
NGOs protest against rising unemployment,Social Issues
Rising sea levels threaten coastal villages,Environment
Severe heatwave expected in northern India,Weather
Banks announce new fixed deposit interest rates,Finance
Cultural exchange program between India and Japan,Culture
NASA discovers new exoplanet in nearby galaxy,Science
Winter rainfall breaks decade-old record,Weather
NGOs protest against rising unemployment,Social Issues
Google launches satellite internet service in rural India,Technology
Doctors warn about rising dengue cases in South India,Health
Cyclone warning issued for coastal Andhra Pradesh,Weather
Military conducts joint exercise with France,Defense
Prime Minister visits flood-affected regions,Politics
Farmers adopt drip irrigation for better yield,Agriculture
Researchers develop new drug for cancer prevention,Health
DRDO tests new surface-to-air missile successfully,Defense
Director wins national award for best film,Entertainment
Farmers adopt drip irrigation for better yield,Agriculture
Winter rainfall breaks decade-old record,Weather
Streaming platforms report record subscriptions,Entertainment
Virat Kohli scores another century in T20 series,Sports
Quantum computing breakthrough announced,Science
US and India sign trade agreement,World News
Cyclone warning issued for coastal Andhra Pradesh,Weather
NASA discovers new exoplanet in nearby galaxy,Science
Heavy pollution levels recorded in Delhi NCR,Environment
Digital payments grow 40% in 2025,Finance
Defense budget increased for modernization,Defense
Court sentences accused in corruption scandal,Crime
Startup raises $50 million in Series B funding,Business
Supreme Court rules on new privacy law,Law
Cyclone warning issued for coastal Andhra Pradesh,Weather
Government invests in electric bus infrastructure,Transportation
Judiciary introduces e-filing system nationwide,Law
Tree plantation drive starts across Telangana,Environment
US and India sign trade agreement,World News
Director wins national award for best film,Entertainment
Google launches satellite internet service in rural India,Technology
Government increases MSP for wheat and rice,Agriculture
Olympic committee approves new event for 2028,Sports
Music festival to be held in Hyderabad next month,Entertainment
Taj Mahal sees record number of visitors,Tourism
Prime Minister visits flood-affected regions,Politics
Rising sea levels threaten coastal villages,Environment
Government increases MSP for wheat and rice,Agriculture
Cultural exchange program between India and Japan,Culture
Defense budget increased for modernization,Defense
Road safety week promotes awareness among drivers,Transportation
Eco-tourism initiatives grow in Kerala,Tourism
Agri-tech startups help farmers monitor soil health,Agriculture
Social media movement promotes mental health awareness,Social Issues
Kidnapping case solved within 48 hours,Crime
Traditional art forms revived in Andhra Pradesh,Culture
Online learning platforms see surge in student enrollment,Education
Severe heatwave expected in northern India,Weather
Stock markets hit record highs amid economic optimism,Business
Virat Kohli scores another century in T20 series,Sports
Prime Minister visits flood-affected regions,Politics
Government launches free vaccination drive,Health
Diwali celebrations begin across the country,Culture
Government increases MSP for wheat and rice,Agriculture
Google launches satellite internet service in rural India,Technology
Doctors warn about rising dengue cases in South India,Health
High Court grants bail in political case,Law
Cybercrime rate increases in metropolitan areas,Crime
Director wins national award for best film,Entertainment
Farmers adopt drip irrigation for better yield,Agriculture
India wins the final match by 5 wickets,Sports
Government increases MSP for wheat and rice,Agriculture
Visa-free travel for selected Asian countries,Tourism
Diwali celebrations begin across the country,Culture
Quantum computing breakthrough announced,Science
